id,source_id,set_id,card_number,lang,updated_at
pokemon:tcgdex:tk-bw-z-20:es,tk-bw-z-20,tk,20,es,2026-08-09 04:01:09.301+00
pokemon:tcgdex:tk-bw-z-20:fr,tk-bw-z-20,tk,20,fr,2026-08-09 04:00:41.223+00
pokemon:tcgdex:tk-bw-z-21:es,tk-bw-z-21,tk,21,es,2026-08-09 04:01:09.524+00
pokemon:tcgdex:tk-bw-z-21:fr,tk-bw-z-21,tk,21,fr,2026-08-09 04:00:41.223+00
pokemon:tcgdex:tk-bw-z-22:es,tk-bw-z-22,tk,22,es,2026-08-09 04:01:09.524+00
pokemon:tcgdex:tk-bw-z-22:fr,tk-bw-z-22,tk,22,fr,2026-08-09 04:00:41.483+00
pokemon:tcgdex:tk-bw-z-23:es,tk-bw-z-23,tk,23,es,2026-08-09 04:01:09.525+00
pokemon:tcgdex:tk-bw-z-23:fr,tk-bw-z-23,tk,23,fr,2026-08-09 04:00:41.483+00
pokemon:tcgdex:tk-bw-z-24:es,tk-bw-z-24,tk,24,es,2026-08-09 04:01:09.525+00
pokemon:tcgdex:tk-bw-z-24:fr,tk-bw-z-24,tk,24,fr,2026-08-09 04:00:41.483+00
pokemon:tcgdex:tk-bw-z-25:es,tk-bw-z-25,tk,25,es,2026-08-09 04:01:09.525+00
pokemon:tcgdex:tk-bw-z-25:fr,tk-bw-z-25,tk,25,fr,2026-08-09 04:00:41.732+00
pokemon:tcgdex:tk-bw-z-26:es,tk-bw-z-26,tk,26,es,2026-08-09 04:01:09.685+00
pokemon:tcgdex:tk-bw-z-26:fr,tk-bw-z-26,tk,26,fr,2026-08-09 04:00:41.733+00
pokemon:tcgdex:tk-bw-z-27:es,tk-bw-z-27,tk,27,es,2026-08-09 04:01:09.685+00
pokemon:tcgdex:tk-bw-z-27:fr,tk-bw-z-27,tk,27,fr,2026-08-09 04:00:41.733+00
pokemon:tcgdex:tk-bw-z-28:es,tk-bw-z-28,tk,28,es,2026-08-09 04:01:09.685+00
pokemon:tcgdex:tk-bw-z-28:fr,tk-bw-z-28,tk,28,fr,2026-08-09 04:00:41.733+00
pokemon:tcgdex:tk-bw-z-29:es,tk-bw-z-29,tk,29,es,2026-08-09 04:01:09.686+00
pokemon:tcgdex:tk-bw-z-29:fr,tk-bw-z-29,tk,29,fr,2026-08-09 04:00:41.966+00
pokemon:tcgdex:tk-bw-z-3:es,tk-bw-z-3,tk,3,es,2026-08-09 04:01:08.687+00
pokemon:tcgdex:tk-bw-z-3:fr,tk-bw-z-3,tk,3,fr,2026-08-09 04:00:38.354+00
pokemon:tcgdex:tk-bw-z-30:es,tk-bw-z-30,tk,30,es,2026-08-09 04:01:09.686+00
pokemon:tcgdex:tk-bw-z-30:fr,tk-bw-z-30,tk,30,fr,2026-08-09 04:00:41.966+00
pokemon:tcgdex:tk-bw-z-4:es,tk-bw-z-4,tk,4,es,2026-08-09 04:01:08.687+00
pokemon:tcgdex:tk-bw-z-4:fr,tk-bw-z-4,tk,4,fr,2026-08-09 04:00:39.161+00
pokemon:tcgdex:tk-bw-z-5:es,tk-bw-z-5,tk,5,es,2026-08-09 04:01:08.687+00
pokemon:tcgdex:tk-bw-z-5:fr,tk-bw-z-5,tk,5,fr,2026-08-09 04:00:39.161+00
pokemon:tcgdex:tk-bw-z-6:es,tk-bw-z-6,tk,6,es,2026-08-09 04:01:08.913+00
pokemon:tcgdex:tk-bw-z-6:fr,tk-bw-z-6,tk,6,fr,2026-08-09 04:00:39.791+00
pokemon:tcgdex:tk-bw-z-7:es,tk-bw-z-7,tk,7,es,2026-08-09 04:01:08.914+00
pokemon:tcgdex:tk-bw-z-7:fr,tk-bw-z-7,tk,7,fr,2026-08-09 04:00:39.792+00
pokemon:tcgdex:tk-bw-z-8:es,tk-bw-z-8,tk,8,es,2026-08-09 04:01:08.914+00
pokemon:tcgdex:tk-bw-z-8:fr,tk-bw-z-8,tk,8,fr,2026-08-09 04:00:39.792+00
pokemon:tcgdex:tk-bw-z-9:es,tk-bw-z-9,tk,9,es,2026-08-09 04:01:08.914+00
pokemon:tcgdex:tk-bw-z-9:fr,tk-bw-z-9,tk,9,fr,2026-08-09 04:00:40.245+00
pokemon:tcgdex:tk-dp-l-1:fr,tk-dp-l-1,tk,1,fr,2026-08-09 04:00:38.354+00
pokemon:tcgdex:tk-dp-l-10:fr,tk-dp-l-10,tk,10,fr,2026-08-09 04:00:40.246+00
pokemon:tcgdex:tk-dp-l-11:fr,tk-dp-l-11,tk,11,fr,2026-08-09 04:00:40.246+00
pokemon:tcgdex:tk-dp-l-2:fr,tk-dp-l-2,tk,2,fr,2026-08-09 04:00:38.354+00
pokemon:tcgdex:tk-dp-l-3:fr,tk-dp-l-3,tk,3,fr,2026-08-09 04:00:38.354+00
pokemon:tcgdex:tk-dp-l-4:fr,tk-dp-l-4,tk,4,fr,2026-08-09 04:00:39.161+00
pokemon:tcgdex:tk-dp-l-5:fr,tk-dp-l-5,tk,5,fr,2026-08-09 04:00:39.161+00
pokemon:tcgdex:tk-dp-l-6:fr,tk-dp-l-6,tk,6,fr,2026-08-09 04:00:39.791+00
pokemon:tcgdex:tk-dp-l-7:fr,tk-dp-l-7,tk,7,fr,2026-08-09 04:00:39.792+00
pokemon:tcgdex:tk-dp-l-8:fr,tk-dp-l-8,tk,8,fr,2026-08-09 04:00:39.792+00
pokemon:tcgdex:tk-dp-l-9:fr,tk-dp-l-9,tk,9,fr,2026-08-09 04:00:40.245+00
pokemon:tcgdex:tk-dp-m-1:fr,tk-dp-m-1,tk,1,fr,2026-08-09 04:00:38.354+00
pokemon:tcgdex:tk-dp-m-10:fr,tk-dp-m-10,tk,10,fr,2026-08-09 04:00:40.246+00
pokemon:tcgdex:tk-dp-m-11:fr,tk-dp-m-11,tk,11,fr,2026-08-09 04:00:40.246+00
pokemon:tcgdex:tk-dp-m-12:fr,tk-dp-m-12,tk,12,fr,2026-08-09 04:00:40.612+00
pokemon:tcgdex:tk-dp-m-2:fr,tk-dp-m-2,tk,2,fr,2026-08-09 04:00:38.354+00
pokemon:tcgdex:tk-dp-m-3:fr,tk-dp-m-3,tk,3,fr,2026-08-09 04:00:39.161+00
pokemon:tcgdex:tk-dp-m-4:fr,tk-dp-m-4,tk,4,fr,2026-08-09 04:00:39.161+00
pokemon:tcgdex:tk-dp-m-5:fr,tk-dp-m-5,tk,5,fr,2026-08-09 04:00:39.161+00
pokemon:tcgdex:tk-dp-m-6:fr,tk-dp-m-6,tk,6,fr,2026-08-09 04:00:39.791+00
pokemon:tcgdex:tk-dp-m-7:fr,tk-dp-m-7,tk,7,fr,2026-08-09 04:00:39.792+00
pokemon:tcgdex:tk-dp-m-8:fr,tk-dp-m-8,tk,8,fr,2026-08-09 04:00:39.792+00
pokemon:tcgdex:tk-dp-m-9:fr,tk-dp-m-9,tk,9,fr,2026-08-09 04:00:40.245+00
pokemon:tcgdex:tk-ex-latia-1:fr,tk-ex-latia-1,tk,1,fr,2026-08-09 04:00:38.354+00
pokemon:tcgdex:tk-ex-latia-10:fr,tk-ex-latia-10,tk,10,fr,2026-08-09 04:00:40.246+00
pokemon:tcgdex:tk-ex-latia-2:fr,tk-ex-latia-2,tk,2,fr,2026-08-09 04:00:38.354+00
pokemon:tcgdex:tk-ex-latia-3:fr,tk-ex-latia-3,tk,3,fr,2026-08-09 04:00:38.354+00
pokemon:tcgdex:tk-ex-latia-4:fr,tk-ex-latia-4,tk,4,fr,2026-08-09 04:00:39.161+00
pokemon:tcgdex:tk-ex-latia-5:fr,tk-ex-latia-5,tk,5,fr,2026-08-09 04:00:39.161+00
pokemon:tcgdex:tk-ex-latia-6:fr,tk-ex-latia-6,tk,6,fr,2026-08-09 04:00:39.791+00
pokemon:tcgdex:tk-ex-latia-7:fr,tk-ex-latia-7,tk,7,fr,2026-08-09 04:00:39.792+00
pokemon:tcgdex:tk-ex-latia-8:fr,tk-ex-latia-8,tk,8,fr,2026-08-09 04:00:39.792+00
pokemon:tcgdex:tk-ex-latia-9:fr,tk-ex-latia-9,tk,9,fr,2026-08-09 04:00:40.245+00
pokemon:tcgdex:tk-ex-latio-1:fr,tk-ex-latio-1,tk,1,fr,2026-08-09 04:00:38.354+00
pokemon:tcgdex:tk-ex-latio-10:fr,tk-ex-latio-10,tk,10,fr,2026-08-09 04:00:40.246+00
pokemon:tcgdex:tk-ex-latio-2:fr,tk-ex-latio-2,tk,2,fr,2026-08-09 04:00:38.354+00
pokemon:tcgdex:tk-ex-latio-3:fr,tk-ex-latio-3,tk,3,fr,2026-08-09 04:00:38.354+00
pokemon:tcgdex:tk-ex-latio-4:fr,tk-ex-latio-4,tk,4,fr,2026-08-09 04:00:39.161+00
pokemon:tcgdex:tk-ex-latio-5:fr,tk-ex-latio-5,tk,5,fr,2026-08-09 04:00:39.161+00
pokemon:tcgdex:tk-ex-latio-6:fr,tk-ex-latio-6,tk,6,fr,2026-08-09 04:00:39.791+00
pokemon:tcgdex:tk-ex-latio-7:fr,tk-ex-latio-7,tk,7,fr,2026-08-09 04:00:39.792+00
pokemon:tcgdex:tk-ex-latio-8:fr,tk-ex-latio-8,tk,8,fr,2026-08-09 04:00:39.792+00
pokemon:tcgdex:tk-ex-latio-9:fr,tk-ex-latio-9,tk,9,fr,2026-08-09 04:00:40.245+00
pokemon:tcgdex:tk-ex-m-1:fr,tk-ex-m-1,tk,1,fr,2026-08-09 04:00:38.354+00
pokemon:tcgdex:tk-ex-m-10:fr,tk-ex-m-10,tk,10,fr,2026-08-09 04:00:40.246+00
pokemon:tcgdex:tk-ex-m-11:fr,tk-ex-m-11,tk,11,fr,2026-08-09 04:00:40.246+00
pokemon:tcgdex:tk-ex-m-12:fr,tk-ex-m-12,tk,12,fr,2026-08-09 04:00:40.612+00
pokemon:tcgdex:tk-ex-m-2:fr,tk-ex-m-2,tk,2,fr,2026-08-09 04:00:38.354+00
pokemon:tcgdex:tk-ex-m-3:fr,tk-ex-m-3,tk,3,fr,2026-08-09 04:00:39.161+00
pokemon:tcgdex:tk-ex-m-4:fr,tk-ex-m-4,tk,4,fr,2026-08-09 04:00:39.161+00
pokemon:tcgdex:tk-ex-m-5:fr,tk-ex-m-5,tk,5,fr,2026-08-09 04:00:39.161+00
pokemon:tcgdex:tk-ex-m-6:fr,tk-ex-m-6,tk,6,fr,2026-08-09 04:00:39.791+00
pokemon:tcgdex:tk-ex-m-7:fr,tk-ex-m-7,tk,7,fr,2026-08-09 04:00:39.792+00
pokemon:tcgdex:tk-ex-m-8:fr,tk-ex-m-8,tk,8,fr,2026-08-09 04:00:39.792+00
pokemon:tcgdex:tk-ex-m-9:fr,tk-ex-m-9,tk,9,fr,2026-08-09 04:00:40.245+00
pokemon:tcgdex:tk-ex-p-1:fr,tk-ex-p-1,tk,1,fr,2026-08-09 04:00:38.354+00
pokemon:tcgdex:tk-ex-p-10:fr,tk-ex-p-10,tk,10,fr,2026-08-09 04:00:40.246+00
pokemon:tcgdex:tk-ex-p-11:fr,tk-ex-p-11,tk,11,fr,2026-08-09 04:00:40.246+00
pokemon:tcgdex:tk-ex-p-12:fr,tk-ex-p-12,tk,12,fr,2026-08-09 04:00:40.612+00
pokemon:tcgdex:tk-ex-p-2:fr,tk-ex-p-2,tk,2,fr,2026-08-09 04:00:38.354+00
pokemon:tcgdex:tk-ex-p-3:fr,tk-ex-p-3,tk,3,fr,2026-08-09 04:00:39.161+00
pokemon:tcgdex:tk-ex-p-4:fr,tk-ex-p-4,tk,4,fr,2026-08-09 04:00:39.161+00
pokemon:tcgdex:tk-ex-p-5:fr,tk-ex-p-5,tk,5,fr,2026-08-09 04:00:39.161+00
pokemon:tcgdex:tk-ex-p-6:fr,tk-ex-p-6,tk,6,fr,2026-08-09 04:00:39.791+00
pokemon:tcgdex:tk-ex-p-7:fr,tk-ex-p-7,tk,7,fr,2026-08-09 04:00:39.792+00
pokemon:tcgdex:tk-ex-p-8:fr,tk-ex-p-8,tk,8,fr,2026-08-09 04:00:39.792+00
pokemon:tcgdex:tk-ex-p-9:fr,tk-ex-p-9,tk,9,fr,2026-08-09 04:00:40.245+00
pokemon:tcgdex:tk-hs-g-20:fr,tk-hs-g-20,tk,20,fr,2026-08-09 04:00:41.223+00
pokemon:tcgdex:tk-hs-r-19:fr,tk-hs-r-19,tk,19,fr,2026-08-09 04:00:41.223+00
pokemon:tcgdex:tk-sm-l-1:es,tk-sm-l-1,tk,1,es,2026-08-09 04:01:08.687+00
pokemon:tcgdex:tk-sm-l-1:fr,tk-sm-l-1,tk,1,fr,2026-08-09 04:00:38.354+00
pokemon:tcgdex:tk-sm-l-1:it,tk-sm-l-1,tk,1,it,2026-08-09 04:01:02.107+00
pokemon:tcgdex:tk-sm-l-11:es,tk-sm-l-11,tk,11,es,2026-08-09 04:01:09.097+00
pokemon:tcgdex:tk-sm-l-11:fr,tk-sm-l-11,tk,11,fr,2026-08-09 04:00:40.246+00
pokemon:tcgdex:tk-sm-l-11:it,tk-sm-l-11,tk,11,it,2026-08-09 04:01:02.613+00
pokemon:tcgdex:tk-sm-l-12:es,tk-sm-l-12,tk,12,es,2026-08-09 04:01:09.097+00
pokemon:tcgdex:tk-sm-l-12:fr,tk-sm-l-12,tk,12,fr,2026-08-09 04:00:40.612+00
pokemon:tcgdex:tk-sm-l-12:it,tk-sm-l-12,tk,12,it,2026-08-09 04:01:02.613+00
pokemon:tcgdex:tk-sm-l-13:es,tk-sm-l-13,tk,13,es,2026-08-09 04:01:09.097+00
pokemon:tcgdex:tk-sm-l-13:fr,tk-sm-l-13,tk,13,fr,2026-08-09 04:00:40.612+00
pokemon:tcgdex:tk-sm-l-13:it,tk-sm-l-13,tk,13,it,2026-08-09 04:01:02.613+00
pokemon:tcgdex:tk-sm-l-14:es,tk-sm-l-14,tk,14,es,2026-08-09 04:01:09.097+00
pokemon:tcgdex:tk-sm-l-14:fr,tk-sm-l-14,tk,14,fr,2026-08-09 04:00:40.612+00
pokemon:tcgdex:tk-sm-l-14:it,tk-sm-l-14,tk,14,it,2026-08-09 04:01:02.614+00
pokemon:tcgdex:tk-sm-l-15:es,tk-sm-l-15,tk,15,es,2026-08-09 04:01:09.3+00
pokemon:tcgdex:tk-sm-l-15:fr,tk-sm-l-15,tk,15,fr,2026-08-09 04:00:40.942+00
pokemon:tcgdex:tk-sm-l-15:it,tk-sm-l-15,tk,15,it,2026-08-09 04:01:02.811+00
pokemon:tcgdex:tk-sm-l-16:es,tk-sm-l-16,tk,16,es,2026-08-09 04:01:09.3+00
pokemon:tcgdex:tk-sm-l-16:fr,tk-sm-l-16,tk,16,fr,2026-08-09 04:00:40.942+00
pokemon:tcgdex:tk-sm-l-16:it,tk-sm-l-16,tk,16,it,2026-08-09 04:01:02.811+00
pokemon:tcgdex:tk-sm-l-18:es,tk-sm-l-18,tk,18,es,2026-08-09 04:01:09.3+00
pokemon:tcgdex:tk-sm-l-18:fr,tk-sm-l-18,tk,18,fr,2026-08-09 04:00:41.223+00
pokemon:tcgdex:tk-sm-l-18:it,tk-sm-l-18,tk,18,it,2026-08-09 04:01:02.811+00
pokemon:tcgdex:tk-sm-l-19:es,tk-sm-l-19,tk,19,es,2026-08-09 04:01:09.3+00
pokemon:tcgdex:tk-sm-l-19:fr,tk-sm-l-19,tk,19,fr,2026-08-09 04:00:41.223+00
pokemon:tcgdex:tk-sm-l-19:it,tk-sm-l-19,tk,19,it,2026-08-09 04:01:02.811+00
pokemon:tcgdex:tk-sm-l-21:es,tk-sm-l-21,tk,21,es,2026-08-09 04:01:09.524+00
pokemon:tcgdex:tk-sm-l-21:fr,tk-sm-l-21,tk,21,fr,2026-08-09 04:00:41.223+00
pokemon:tcgdex:tk-sm-l-21:it,tk-sm-l-21,tk,21,it,2026-08-09 04:01:03.037+00
pokemon:tcgdex:tk-sm-l-22:es,tk-sm-l-22,tk,22,es,2026-08-09 04:01:09.525+00
pokemon:tcgdex:tk-sm-l-22:fr,tk-sm-l-22,tk,22,fr,2026-08-09 04:00:41.483+00
pokemon:tcgdex:tk-sm-l-22:it,tk-sm-l-22,tk,22,it,2026-08-09 04:01:03.037+00
pokemon:tcgdex:tk-sm-l-23:es,tk-sm-l-23,tk,23,es,2026-08-09 04:01:09.525+00
pokemon:tcgdex:tk-sm-l-23:fr,tk-sm-l-23,tk,23,fr,2026-08-09 04:00:41.483+00
pokemon:tcgdex:tk-sm-l-23:it,tk-sm-l-23,tk,23,it,2026-08-09 04:01:03.037+00
pokemon:tcgdex:tk-sm-l-25:es,tk-sm-l-25,tk,25,es,2026-08-09 04:01:09.525+00
pokemon:tcgdex:tk-sm-l-25:fr,tk-sm-l-25,tk,25,fr,2026-08-09 04:00:41.732+00
pokemon:tcgdex:tk-sm-l-25:it,tk-sm-l-25,tk,25,it,2026-08-09 04:01:03.038+00
pokemon:tcgdex:tk-sm-l-27:es,tk-sm-l-27,tk,27,es,2026-08-09 04:01:09.685+00
pokemon:tcgdex:tk-sm-l-27:fr,tk-sm-l-27,tk,27,fr,2026-08-09 04:00:41.733+00
pokemon:tcgdex:tk-sm-l-27:it,tk-sm-l-27,tk,27,it,2026-08-09 04:01:03.21+00
pokemon:tcgdex:tk-sm-l-29:es,tk-sm-l-29,tk,29,es,2026-08-09 04:01:09.686+00
pokemon:tcgdex:tk-sm-l-29:fr,tk-sm-l-29,tk,29,fr,2026-08-09 04:00:41.966+00
pokemon:tcgdex:tk-sm-l-29:it,tk-sm-l-29,tk,29,it,2026-08-09 04:01:03.21+00
pokemon:tcgdex:tk-sm-l-30:es,tk-sm-l-30,tk,30,es,2026-08-09 04:01:09.686+00
pokemon:tcgdex:tk-sm-l-30:fr,tk-sm-l-30,tk,30,fr,2026-08-09 04:00:41.966+00
pokemon:tcgdex:tk-sm-l-30:it,tk-sm-l-30,tk,30,it,2026-08-09 04:01:03.21+00
pokemon:tcgdex:tk-sm-l-4:es,tk-sm-l-4,tk,4,es,2026-08-09 04:01:08.687+00
pokemon:tcgdex:tk-sm-l-4:fr,tk-sm-l-4,tk,4,fr,2026-08-09 04:00:39.161+00
